0;"Seit einiger Zeit wird gegen das von Russland finanzierte Medium RT Deutsch...";"/html/body/div[1]/div/main/div[2]/article/div";275
1;"Dieser Beitrag ist auch als Audio-Podcast verfügbar....";"/html/body/div[1]/div/main/div[2]/article/div";150
2;"Podcast: Play in new window | Download...";"/html/body/div[1]/div/main/div[2]/article/div";150
3;"Zwei der Artikel betreffen die Reaktion des russischen Verteidigungsministe...";"/html/body/div[1]/div/main/div[2]/article/div";225
4;"Der russische Verteidigungsminister äußerte sich dazu am 23. Oktober und ...";"/html/body/div[1]/div/main/div[2]/article/div";225
5;"Sergei Schoigu antwortet AKK: “Die Sicherheit in Europa kann nur eine gem...";"/html/body/div[1]/div/main/div[2]/article/div";225
6;"Sergei Schoigu antwortet AKK: “Die Sicherheit in Europa kann nur eine gem...";"/html/body/div[1]/div/main/div[2]/article/div/blockquote[1]";125
7;"23 Okt. 2021 17:34 Uhr...";"/html/body/div[1]/div/main/div[2]/article/div/blockquote[1]";150
8;"Russlands Verteidigungsminister Sergei Schoigu hat die Worte seiner deutsch...";"/html/body/div[1]/div/main/div[2]/article/div/blockquote[1]";200
9;"â¦...";"/html/body/div[1]/div/main/div[2]/article/div/blockquote[1]";150
10;"Sergei Schoigu antwortet AKK: “Die Sicherheit in Europa kann nur eine gem...";"/html/body/div[1]/div/main/div[2]/article/div/blockquote[1]";175
11;"Außerdem wurde ein deutscher Militärattache an der Botschaft in Moskau in...";"/html/body/div[1]/div/main/div[2]/article/div";150
12;"Deutscher MilitärattachÃ© wegen AKK-Aussagen ins russische Verteidigungs...";"/html/body/div[1]/div/main/div[2]/article/div";200
13;"Deutscher MilitärattachÃ© wegen AKK-Aussagen ins russische Verteidigungs...";"/html/body/div[1]/div/main/div[2]/article/div/blockquote[2]";125
14;"25 Okt. 2021 17:17 Uhr...";"/html/body/div[1]/div/main/div[2]/article/div/blockquote[2]";150
15;"Ein deutscher MilitärattachÃ© wurde ins russische Verteidigungsministeri...";"/html/body/div[1]/div/main/div[2]/article/div/blockquote[2]";175
16;"Deutscher MilitärattachÃ© wegen AKK-Aussagen ins russische Verteidigungs...";"/html/body/div[1]/div/main/div[2]/article/div/blockquote[2]";150
17;"Anfang Oktober 2021 hatte die NATO acht Mitarbeitern der russischen NATO-Bo...";"/html/body/div[1]/div/main/div[2]/article/div";175
18;"Lawrow: NATO begräbt Idee von Konsultationen mit Russland
19 Okt. 2021 22:...";"/html/body/div[1]/div/main/div[2]/article/div";225
19;"Lawrow: NATO begräbt Idee von Konsultationen mit Russland...";"/html/body/div[1]/div/main/div[2]/article/div/blockquote[3]";125
20;"19 Okt. 2021 22:22 Uhr...";"/html/body/div[1]/div/main/div[2]/article/div/blockquote[3]";150
21;"Der russische Außenminister Sergei Lawrow hat erklärt, die NATO habe die ...";"/html/body/div[1]/div/main/div[2]/article/div/blockquote[3]";225
22;"â¦...";"/html/body/div[1]/div/main/div[2]/article/div/blockquote[3]";150
23;"de.rt.com/russland/125914-lawrow-nato-begraebt-idee-von-konsultationen-mit-...";"/html/body/div[1]/div/main/div[2]/article/div/blockquote[3]";175
24;"Diese Entscheidung der NATO und die dann folgende Schließung der russische...";"/html/body/div[1]/div/main/div[2]/article/div";200
25;"Die kritische Entwicklung der Beziehungen zwischen dem Westen und Russland ...";"/html/body/div[1]/div/main/div[2]/article/div";225
26;"Selenskij-Berater warnt Kreml: Krieg mit Kiew würde das “Ende Russlands�...";"/html/body/div[1]/div/main/div[2]/article/div";225
27;"Selenskij-Berater warnt Kreml: Krieg mit Kiew würde das “Ende Russlands�...";"/html/body/div[1]/div/main/div[2]/article/div/blockquote[4]";125
28;"25 Okt. 2021 17:04 Uhr...";"/html/body/div[1]/div/main/div[2]/article/div/blockquote[4]";150
29;"Ein Berater des ukrainischen Präsidenten sagte, Kiew arbeite an der Entwic...";"/html/body/div[1]/div/main/div[2]/article/div/blockquote[4]";225
